"Vague","S1. genre","S2. âge","S3. Zone géo","Région","Département","S7b. Taille commune","q5. Certitude/hypothèse impact effet de serre","q11. Solutions changement climatique","q18_i1. Causes GES activités industrielles","q18_i2. Causes GES transports","q18_i3. Causes GES bâtiments","q18_i4. Causes GES agriculture","q18_i5. Causes GES centrales de production d'électricité au gaz, charbon ou fuel","q18_i6. Causes GES traitement des déchets","q18_i7. Causes GES destruction des forêts","q18_i8. Causes GES centrales nucléaires","q18_i9. Causes GES activité volcanique","q18_i10. Causes GES bombes aérosols","s13. Nb membres foyer","s15. Diplôme","s17. Type habitat","s18. Statut locataire/propriétaire","s22. Mode de transport","s25. Sympathie mouvements écologistes","poids","age"
"Vague 01","Une femme","35-49 ans","Sud Est","Provence - Alpes - Côte d'Azur","Bouches-du-Rhône","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Peu","Assez","Assez","Assez","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","4 personnes et +","CAP - BEP","Une maison individuelle","Locataire","En transports en commun urbains (dont métro)","...peu de sympathie ?","1.1126761","43"
"Vague 01","Une femme","25-34 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Ardennes","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Assez","Assez","Beaucoup","Beaucoup","Assez","Assez","Beaucoup","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Locataire","En vélo ou à pied","...beaucoup de sympathie ?","0.7383178","32"
"Vague 01","Une femme","50-64 ans","Nord Est","Bourgogne - Franche - Comté","Doubs","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Peu","Peu","Peu","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Beaucoup","1 personne","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1126761","50"
"Vague 01","Un homme","65 ans et +","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Pyrénées-Atlantiques","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Beaucoup","Beaucoup","Beaucoup","Beaucoup","No rep.","Pas du tout","Assez","1 personne","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.5728643","88"
"Vague 01","Une femme","35-49 ans","Sud Est","Languedoc - Roussillon - Midi - Pyrénées","Hérault","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Assez","Peu","Peu","Assez","Assez","Peu","Assez","No rep.","Peu","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.5703704","40"
"Vague 01","Une femme","35-49 ans","Sud Est","Auvergne - Rhône - Alpes","Loire","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","Peu","Beaucoup","Beaucoup","Pas du tout","Assez","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1126761","44"
"Vague 01","Une femme","35-49 ans","Sud Est","Provence - Alpes - Côte d'Azur","Alpes-Maritimes","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","Beaucoup","Peu","Beaucoup","Peu","Pas du tout","3 personnes","CAP - BEP","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.1126761","41"
"Vague 01","Un homme","35-49 ans","Nord Est","Nord - Pas de Calais - Picardie","Nord","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","0.5703704","37"
"Vague 01","Une femme","50-64 ans","Ile de France","Ile de France","Val-de-Marne","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","Assez","Pas du tout","Pas du tout","Peu","No rep.","No rep.","Peu","Pas du tout","No rep.","1 personne","CAP - BEP","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...peu de sympathie ?","1.1126761","55"
"Vague 01","Une femme","35-49 ans","Sud Est","Provence - Alpes - Côte d'Azur","Var","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Beaucoup","Peu","Peu","Peu","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","3 personnes","BEPC, BREVET DES COLLEGES","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.6838235","42"
"Vague 01","Un homme","50-64 ans","Sud Ouest","Languedoc - Roussillon - Midi - Pyrénées","Tarn","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Assez","Peu","Assez","Beaucoup","Beaucoup","Assez","Peu","Assez","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.5728643","62"
"Vague 01","Une femme","35-49 ans","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Beaucoup","Peu","Beaucoup","Beaucoup","Peu","Pas du tout","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","0.5703704","42"
"Vague 01","Une femme","50-64 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Marne","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Assez","Assez","Assez","Assez","Peu","Assez","Beaucoup","Assez","Beaucoup","Pas du tout","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.5128205","57"
"Vague 01","Une femme","35-49 ans","Nord Est","Nord - Pas de Calais - Picardie","Nord","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Assez","Assez","Assez","Peu","Peu","Peu","Assez","Assez","Peu","Assez","4 personnes et +","No rep.","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","2.423913","40"
"Vague 01","Une femme","65 ans et +","Nord Ouest","Bretagne","Côtes-d'Armor","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Assez","Beaucoup","Beaucoup","Assez","Beaucoup","Assez","Pas du tout","Peu","2 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.5703704","75"
"Vague 01","Une femme","15-17 ans","Ile de France","Ile de France","Paris","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Peu","Peu","Peu","Peu","Assez","Peu","Beaucoup","Peu","Beaucoup","4 personnes et +","BEPC, BREVET DES COLLEGES","Un appartement","Locataire","En transports en commun urbains (dont métro)","...assez de sympathie ?","0.6838235","16"
"Vague 01","Un homme","25-34 ans","Nord Ouest","Pays de la Loire","Vendée","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","Peu","Beaucoup","No rep.","Pas du tout","Assez","3 personnes","No rep.","Autre","Locataire","En vélo ou à pied","...assez de sympathie ?","2.423913","32"
"Vague 01","Un homme","35-49 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Beaucoup","Assez","Assez","Peu","Assez","Assez","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5703704","46"
"Vague 01","Un homme","65 ans et +","Sud Est","Languedoc - Roussillon - Midi - Pyrénées","Hérault","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Beaucoup","Peu","Beaucoup","Peu","Beaucoup","Pas du tout","Assez","Assez","1 personne","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5703704","75"
"Vague 01","Une femme","18-24 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Corrèze","Dans une ville de 20.000 à moins de 100.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Peu","Peu","No rep.","Assez","Beaucoup","Assez","No rep.","Beaucoup","2 personnes","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5728643","20"
"Vague 01","Un homme","25-34 ans","Nord Ouest","Pays de la Loire","Mayenne","Dans une ville de 2000 à moins de 20.000 habitants","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Assez","Peu","Pas du tout","Pas du tout","Peu","Peu","Assez","Peu","Pas du tout","Assez","2 personnes","CAP - BEP","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1126761","26"
"Vague 01","Un homme","50-64 ans","Nord Ouest","Bretagne","Finistère","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Peu","Peu","Assez","Beaucoup","Peu","Beaucoup","Peu","Beaucoup","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.5728643","53"
"Vague 01","Une femme","35-49 ans","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Beaucoup","Pas du tout","Beaucoup","Peu","Assez","Pas du tout","Beaucoup","No rep.","Beaucoup","4 personnes et +","No rep.","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","2.423913","40"
"Vague 01","Un homme","18-24 ans","Nord Est","Bourgogne - Franche - Comté","Haute-Saône","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Assez","Assez","Peu","Assez","Assez","Peu","Beaucoup","Peu","Beaucoup","Assez","3 personnes","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.7383178","24"
"Vague 01","Une femme","50-64 ans","Ile de France","Ile de France","Yvelines","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Assez","Beaucoup","Assez","Beaucoup","Beaucoup","Peu","Beaucoup","2 personnes","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...assez de sympathie ?","1.1126761","57"
"Vague 01","Une femme","50-64 ans","Sud Ouest","Aquitaine - Limousin - Poitou - Charente","Gironde","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Assez","Beaucoup","Beaucoup","Beaucoup","Beaucoup","Assez","Beaucoup","2 personnes","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.5128205","61"
"Vague 01","Un homme","65 ans et +","Nord Ouest","Bretagne","Finistère","Dans une agglomération de 100.000 habitants et plus, en province","No rep.","Le progrès technique permettra de trouver des solutions pour limiter le changement climatique","Assez","No rep.","No rep.","Beaucoup","Assez","No rep.","Pas du tout","Pas du tout","Pas du tout","Pas du tout","1 personne","CERTIFICAT D'ETUDES PRIMAIRES (CEP)","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","No rep.","No rep.","1.5128205","77"
"Vague 01","Une femme","18-24 ans","Nord Ouest","Bretagne","Côtes-d'Armor","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","No rep.","Pas du tout","No rep.","Pas du tout","Assez","Beaucoup","Pas du tout","Beaucoup","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","1.1126761","21"
"Vague 01","Un homme","50-64 ans","Nord Est","Nord - Pas de Calais - Picardie","Pas-de-Calais","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il n'y a rien à faire, le changement climatique est inévitable.","Assez","Peu","Peu","Beaucoup","Peu","Peu","Beaucoup","Pas du tout","Beaucoup","Pas du tout","4 personnes et +","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5703704","64"
"Vague 01","Un homme","65 ans et +","Sud Est","Provence - Alpes - Côte d'Azur","Hautes-Alpes","En zone rurale","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Assez","No rep.","Peu","Pas du tout","Beaucoup","Peu","Peu","Beaucoup","Pas du tout","Peu","2 personnes","No rep.","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","2.423913","66"
"Vague 01","Un homme","25-34 ans","Sud Est","Provence - Alpes - Côte d'Azur","Alpes-Maritimes","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","Peu","Peu","Beaucoup","Peu","Peu","Beaucoup","4 personnes et +","CAP - BEP","Autre","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","1.1126761","33"
"Vague 01","Une femme","18-24 ans","Sud Est","Languedoc - Roussillon - Midi - Pyrénées","Hérault","Dans une agglomération de 100.000 habitants et plus, en province","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Assez","Peu","Pas du tout","Assez","Beaucoup","Pas du tout","Beaucoup","Pas du tout","Beaucoup","4 personnes et +","BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5728643","20"
"Vague 01","Un homme","18-24 ans","Nord Est","Alsace - Champagne - Ardennes - Lorraine","Haut-Rhin","En zone rurale","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Pas du tout","Pas du tout","Assez","Assez","Beaucoup","Pas du tout","Beaucoup","4 personnes et +","BEPC, BREVET DES COLLEGES","Une maison individuelle","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...beaucoup de sympathie ?","0.6838235","18"
"Vague 01","Un homme","35-49 ans","Nord Ouest","Pays de la Loire","Sarthe","Dans une ville de 2000 à moins de 20.000 habitants","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Beaucoup","Assez","Beaucoup","Beaucoup","Peu","Beaucoup","Beaucoup","4 personnes et +","No rep.","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...peu de sympathie ?","2.423913","44"
"Vague 01","Un homme","35-49 ans","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Peu","Peu","No rep.","No rep.","Beaucoup","Beaucoup","Peu","Beaucoup","3 personnes","2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES","Un appartement","Locataire","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.5703704","35"
"Vague 01","Un homme","35-49 ans","Nord Est","Nord - Pas de Calais - Picardie","Nord","Dans une agglomération de 100.000 habitants et plus, en province","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Pas du tout","Pas du tout","Peu","Assez","Beaucoup","Peu","Peu","Beaucoup","4 personnes et +","DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En voiture (même si vous n'êtes pas le conducteur)","...assez de sympathie ?","0.7383178","38"
"Vague 01","Un homme","15-17 ans","Ile de France","Ile de France","Val-d'Oise","Dans l'agglomération parisienne","...ou bien une certitude pour la plupart des scientifiques ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Peu","Assez","Assez","Beaucoup","Beaucoup","Peu","Beaucoup","Assez","Peu","Beaucoup","4 personnes et +","CAP - BEP","Une maison individuelle","Propriétaire (y compris copropriétaire et accédant)","En transports en commun urbains (dont métro)","...beaucoup de sympathie ?","1.1126761","17"
"Vague 01","Une femme","15-17 ans","Ile de France","Ile de France","Val-de-Marne","Dans l'agglomération parisienne","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il n'y a rien à faire, le changement climatique est inévitable.","Beaucoup","Peu","Peu","Peu","Beaucoup","Peu","Beaucoup","Beaucoup","Beaucoup","Beaucoup","4 personnes et +","No rep.","Un appartement","Propriétaire (y compris copropriétaire et accédant)","En vélo ou à pied","...beaucoup de sympathie ?","2.423913","15"
"Vague 01","Un homme","65 ans et +","Ile de France","Ile de France","Hauts-de-Seine","Dans l'agglomération parisienne","...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?","Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique","Beaucoup","Beaucoup","Beaucoup","Peu","Assez","Peu","Beaucoup","Pas du tout","Assez","Beaucoup","3 personnes","BEPC, BREVET DES COLLEGES","Un appartement","Locataire","En transports en commun urbains (dont métro)","...assez de sympathie ?","0.6838235","65"
